code,name,lat,lon,junction,source
BCF,Bankapasi,23.5704,88.037219,,osm
BCGM,Bainchigram,23.106842,88.215674,,osm
BCGN,Botanical Garden,28.563957,77.334106,,osm
BCH,Bercha,23.283609,76.33535,,osm
BCHN,Bochasan Junction,22.40191,72.848636,,osm
BCHR,Bachar,21.952004,73.164023,,osm
BCJ,Bagahabishunpur,24.823108,84.213412,,osm
BCK,Balichak,22.357706,87.552912,,osm
BCN,Bachhrawan,26.476601,81.104952,,osm
BCOB,Bhachau,23.304063,70.350733,,osm
BCP,Bichpuri,27.176529,77.914653,,osm
BCQ,Barachak,23.707162,86.92844,,osm
BCR,بوچیری,26.353555,68.365584,,osm
BCRD,Barchi Road,21.95255,78.312022,,osm
BCSD,Bengal Chemical,22.580067,88.401296,,osm
BCU,Bhuchu Mandi,30.21011,75.09528,,osm
BCW,Bhawi,26.225469,73.617013,,osm
BCY,Varanasi City,25.334337,83.014275,,osm
BCYN,Budhdevchak Y Nagar,25.497198,85.328244,,osm
BDAG,Bonidanga,24.82364,87.809921,,osm
BDB,Vrindavan,27.576332,77.694208,,osm
BDBA,Badabandha,20.277131,86.520391,,osm
BDBG,Badhai Balamgarh,30.453373,74.423068,,osm
BDBP,Basudebpur,24.63586,87.980989,,osm
BDC,Bandel Junction,22.923669,88.378286,,osm
BDDR,Badodar,21.345731,70.280649,,osm
BDE,Bodeli,22.269829,73.716143,,osm
BDGM,Badgam station,34.038525,74.736016,,osm
BDH,Bhedia railway station,23.589986,87.711392,,osm
BDHA,Badhada,21.269895,71.337096,,osm
BDHL,Badhal,27.251411,75.450871,,osm
BDHP,Bhudpur,29.217357,77.291047,,osm
BDHY,Budhi,32.440625,75.43543,,osm
BDIH,Bandhdih,23.671094,86.261091,,osm
BDIN,Bhadaiyan,26.171113,82.169148,,osm
BDJR,Bhadora Jagir,24.78809,77.412525,,osm
BDK,Bedag,16.822744,74.728026,,osm
BDKD,Bhandarkund,21.836262,78.918438,,osm
BDKN,Bandhua Kalan,26.272884,81.995801,,osm
BDKT,Badakhandeita,20.36584,86.08386,,osm
BDL,Vindhyachal Railroad Station,25.160226,82.502465,,osm
BDMA,Budhma Station,25.901012,86.864621,,osm
BDME,Baidyanathdham,24.488957,86.692722,,osm
BDMJ,Bhodwal Majri,29.185226,77.008419,,osm
BDN,Bhadan,26.979447,78.737603,,osm
BDNL,بادل نالا,24.844825,67.367164,,osm
BDNP,Bidanpur,25.585119,81.442131,,osm
BDO,Bahalda Road,22.441687,86.164322,,osm
BDP,بڈھا پور,25.674728,68.329015,,osm
BDPA,Badalpur,21.709211,87.614816,,osm
BDPG,Bada Padagaon,20.570516,85.873632,,osm
BDPK,Budhapank,20.852648,85.256013,,osm
BDPR,Brindabanpur,23.307628,87.280141,,osm
BDQ,Budora,23.779023,86.236002,,osm
BDR,باڈہ,27.328945,68.028676,,osm
BDRI,Bhadrauli,26.894247,78.48214,,osm
BDRN,Bhadran,22.35685,72.891513,,osm
BDS,Baradighi,26.797435,88.740105,,osm
BDSR,Bhadreshwar Road,22.882483,69.834298,,osm
BDSW,Budh Singhwala,29.83229,74.222332,,osm
BDTS,Bandra Terminus,19.062704,72.841303,,osm
BDUA,Basudeopur Chandail Halt,25.648112,85.542244,,osm
BDVR,Boddavara,18.175193,83.113338,,osm
BDW,Bandanwara,26.123209,74.69116,,osm
BDWA,Badhwabara,23.294644,81.286855,,osm
BDWL,Biradhwal,29.174488,73.896569,,osm
BDWS,Badarwas,24.983592,77.562278,,osm
BDX,بدين,24.662329,68.838472,,osm
BDXT,Basai Dhankot,28.464584,76.982817,,osm
BDYK,Bindayaka,26.923616,75.651594,,osm
BDYP,Bidyadharpur,22.424699,88.454013,,osm
BDYR,Bidyadabri,26.211429,89.782291,,osm
BDZ,Badkulla,23.305505,88.526126,,osm
BE,Bareilly Junction,28.338104,79.410266,,osm
BEA,Bihiya,25.558638,84.448868,,osm
BEAS,Beas Junction,31.520281,75.291336,,osm
BEB,Beldanga,23.933331,88.243073,,osm
BECN,Bikaner East,27.973121,73.369625,,osm
BED,Baseri,26.748598,77.543397,,osm
BEDM,Bedham,27.453899,77.209511,,osm
BEF,Bhupdeopur,21.974827,83.259252,,osm
BEG,Behtagokul,27.530434,80.054854,,osm
BEH,Bagdihi,21.951269,84.186841,,osm
BEHJ,Vehaj,27.482452,77.387357,,osm
BEHR,Beohari,24.000534,81.380013,,osm
BEHS,Bihar Sharif Junction,25.203267,85.539523,,osm
BEHT,Bihat Halt,25.44977,86.033456,,osm
BEK,Bundki,29.522577,78.393285,,osm
BEL,بہل,31.41244,71.022879,,osm
BELA,Bela,24.979839,84.981671,,osm
BELD,Belkhera,22.982558,79.30174,,osm
BELT,Bela,25.038288,86.998565,,osm
BEM,Budaun,28.02865,79.137005,,osm
BEN,বেনাপোল রেলওয়ে স্টেশন,23.043099,88.902778,,osm
BEO,Birohe,25.172358,82.456926,,osm
BEP,Bheerpur,25.265024,81.98924,,osm
BEPR,CBD Belapur,19.019008,73.03913,,osm
BEQ,Belur,22.635732,88.339822,,osm
BER,Beawar,26.107056,74.312842,,osm
BERO,Bero,23.548325,86.726928,,osm
BES,Bes,23.905611,85.324248,,osm
BET,Bareth,23.914445,77.999846,,osm
BETI,Bhetasi,22.421991,73.032478,,osm
